"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","200","PCF1126CT-ND","ECP-U1C104MA5","CAP FILM 0.1UF 20% 16VDC 0805","","200","0","0.30580","61.16"
"2","210","445-173615-1-ND","C1608X7R1E105K080AE","CAP CER 1UF 25V X7R 0603","","210","0","0.09150","19.22"
"3","30","490-GRJ21BR61E106KE01KCT-ND","GRJ21BR61E106KE01K","CAP CER MLCC","","30","0","0.13700","4.11"
"4","80","732-4978-1-ND","150060RS75000","LED RED CLEAR 0603 SMD","","80","0","0.14200","11.36"
"5","130","CCS15S40L3FCT-ND","CCS15S40,L3F","DIODE SCHOTTKY 40V 1.5A CST2C","","130","0","0.13180","17.13"
"6","30","DDZ15-7DICT-ND","DDZ15-7","DIODE ZENER 15V 500MW SOD123","","30","0","0.17200","5.16"
"7","10","MBR0580-TPMSCT-ND","MBR0580-TP","DIODE SCHOTTKY 80V 500MA SOD123","","10","0","0.22000","2.20"
"8","10","FSV20100VCT-ND","FSV20100V","DIODE SCHOTTKY 100V 20A TO277-3","","10","0","1.19900","11.99"
"9","30","507-1886-1-ND","C1F 5","FUSE BRD MT 5A 125VAC 63VDC 1206","","30","0","0.27500","8.25"
"10","10","507-1942-1-ND","0685H9100-01","FUSE BRD MT 10A 125VAC 32VDC","","10","0","0.29800","2.98"
"11","10","507-1089-1-ND","C2Q 500","FUSE BRD MT 500MA 32VAC 63VDC","","10","0","0.30000","3.00"
"12","40","490-13269-1-ND","BLM31SN500SN1L","FERRITE BEAD 50 OHM 1206 1LN","","40","0","0.22400","8.96"
"13","10","SRP1265A-100MCT-ND","SRP1265A-100M","FIXED IND 10UH 10A 16.5 MOHM SMD","","10","0","1.32200","13.22"
"14","20","SSM3K341RLFCT-ND","SSM3K341R,LF","MOSFET N-CH 60V 6A SOT-23F","","20","0","0.36600","7.32"
"15","30","DMN65D8L-7DICT-ND","DMN65D8L-7","MOSFET N-CH 60V 310MA SOT23","","30","0","0.12400","3.72"
"16","30","FDN340PCT-ND","FDN340P","MOSFET P-CH 20V 2A SUPERSOT3","","30","0","0.35500","10.65"
"17","40","2019-RK73B2ATTD151JCT-ND","RK73B2ATTD151J","RES 150 OHM 5% 1/4W 0805","","40","0","0.02300","0.92"
"18","20","13-RC0603FR-135K1LCT-ND","RC0603FR-135K1L","RES 5.1K OHM 1% 1/10W 0603","","20","0","0.01900","0.38"
"19","10","CSR1206FT10L0CT-ND","CSR1206FT10L0","RES 0.01 OHM 1% 1/2W 1206","","10","0","0.38000","3.80"
"20","20","RMCF0603FT91K0CT-ND","RMCF0603FT91K0","RES 91K OHM 1% 1/10W 0603","","20","0","0.01500","0.30"
"21","50","RHM10KDCT-ND","ESR03EZPJ103","RES 10K OHM 5% 1/4W 0603","","50","0","0.04340","2.17"
"22","30","10-ERJ-UP3J120VCT-ND","ERJ-UP3J120V","RES 12 OHM 5% 1/4W 0603","","30","0","0.08300","2.49"
"23","70","13-RC0603FR-1327RLCT-ND","RC0603FR-1327RL","RES 27 OHM 1% 1/10W 0603","","70","0","0.01120","0.78"
"24","80","CAY16-1001F4LFCT-ND","CAY16-1001F4LF","RES ARRAY 4 RES 1K OHM 1206","","80","0","0.04660","3.73"
"25","20","CAY16-1002F4LFCT-ND","CAY16-1002F4LF","RES ARRAY 4 RES 10K OHM 1206","","20","0","0.08200","1.64"
"26","10","CKN12221-1-ND","PTS526 SK15 SMTR2 LFS","SWITCH TACTILE SPST-NO 0.05A 12V","","10","0","0.13500","1.35"
"27","20","620-1371-1-ND","ACS711ELCTR-25AB-T","SENSOR CURRENT HALL 25A AC/DC","","20","0","2.00700","40.14"
"28","10","31-AP33771DKZ-13CT-ND","AP33771DKZ-13","USB PD SINK CONTROLLER","","10","0","1.33800","13.38"
"29","20","IS281-4CT-ND","IS281-4","OPTOISO 3.75KV 4CH TRANS","","20","0","1.01000","20.20"
"30","10","296-34984-1-ND","BQ294700DSGR","IC BATT PROT LI-ION 2-4CEL 8WSON","","10","0","0.80700","8.07"
"31","10","283-SCF4030-12-04CT-ND","SCF4030-12-04","FUSE BRD MNT 12A 36VDC SMD","","10","0","1.29100","12.91"
"32","10","785-1797-1-ND","AONR21321","MOSFET P-CH 30V 24A 8DFN","","10","0","0.37800","3.78"
"33","10","IRS2184STRPBFCT-ND","IRS2184STRPBF","IC GATE DRVR HALF-BRIDGE 8SOIC","","10","0","1.66300","16.63"
"34","10","BA033CC0FP-E2CT-ND","BA033CC0FP-E2","IC REG LINEAR 3.3V 1A TO252-3","","10","0","1.20400","12.04"
"35","30","785-1505-1-ND","AON7522E","MOSFET N-CH 30V 21A/34A 8DFN","","30","0","0.47200","14.16"
"36","20","LM62CIM3/NOPBCT-ND","LM62CIM3/NOPB","SENSOR ANALOG 0C-90C SOT23-3","","20","0","1.11800","22.36"
"37","20","FAN3100TSXCT-ND","FAN3100TSX","IC GATE DRVR LOW-SIDE SOT23-5","","20","0","0.93000","18.60"
"38","10","DSPIC30F301130IML-ND","DSPIC30F3011-30I/ML","IC MCU 16BIT 24KB FLASH 44QFN","","10","0","6.86000","68.60"
"39","10","768-1130-1-ND","FT230XQ-R","IC USB SERIAL BASIC UART 16QFN","","10","0","2.26000","22.60"